Ramallah,Ramallah,0
Ramallah,Qalqilya,39
Ramallah,Jerusalem,15
Ramallah,Nablus,36
Ramallah,Jericho,25
Ramallah,Bethlehem,29
Ramallah,Hebron,42.4
Ramallah,Jenin,63
Ramallah,Ramla,31
Ramallah,lod,30
Ramallah,Salfit,20
Ramallah,Rafah,115
Ramallah,Khan_Yunis,105
Ramallah,Gaza,83
Ramallah,Tulkarm,49
Qalqilya,Ramallah,39
Qalqilya,Qalqilya,0
Qalqilya,Jerusalem,52
Qalqilya,Nablus,27
Qalqilya,Jericho,64
Qalqilya,Bethlehem,59
Qalqilya,Hebron,74
Qalqilya,Jenin,27
Qalqilya,Ramla,31
Qalqilya,lod,37
Qalqilya,Salfit,70
Qalqilya,Rafah,65
Qalqilya,Khan_Yunis,114
Qalqilya,Gaza,91
Qalqilya,Tulkarm,14
Jerusalem,Ramallah,15
Jerusalem,Qalqilya,52
Jerusalem,Jerusalem,0
Jerusalem,Nablus,51
Jerusalem,Jericho,33
Jerusalem,Bethlehem,8
Jerusalem,Hebron,28
Jerusalem,Jenin,75
Jerusalem,Ramla,37
Jerusalem,lod,37
Jerusalem,Salfit,35
Jerusalem,Rafah,47
Jerusalem,Khan_Yunis,98
Jerusalem,Gaza,77
Jerusalem,Tulkarm,64
Nablus,Ramallah,36
Nablus,Qalqilya,27
Nablus,Jerusalem,51
Nablus,Nablus,0
Nablus,Jericho,68
Nablus,Bethlehem,80
Nablus,Hebron,78
Nablus,Jenin,35
Nablus,Ramla,49
Nablus,lod,46
Nablus,Salfit,17
Nablus,Rafah,143
Nablus,Khan_Yunis,133
Nablus,Gaza,110
Nablus,Tulkarm,25
Jericho,Ramallah,25
Jericho,Qalqilya,64
Jericho,Jerusalem,33
Jericho,Nablus,68
Jericho,Jericho,0
Jericho,Bethlehem,38
Jericho,Hebron,50
Jericho,Jenin,62
Jericho,Ramla,75
Jericho,lod,70
Jericho,Salfit,50
Jericho,Rafah,120
Jericho,Khan_Yunis,110
Jericho,Gaza,90
Jericho,Tulkarm,80
Bethlehem,Ramallah,29
Bethlehem,Qalqilya,59
Bethlehem,Jerusalem,8
Bethlehem,Nablus,80
Bethlehem,Jericho,38
Bethlehem,Bethlehem,0
Bethlehem,Hebron,15
Bethlehem,Jenin,72
Bethlehem,Ramla,67
Bethlehem,lod,60
Bethlehem,Salfit,40
Bethlehem,Rafah,120
Bethlehem,Khan_Yunis,120
Bethlehem,Gaza,85
Bethlehem,Tulkarm,70
Hebron,Ramallah,42
Hebron,Qalqilya,74
Hebron,Jerusalem,28
Hebron,Nablus,78
Hebron,Jericho,50
Hebron,Bethlehem,15
Hebron,Hebron,0
Hebron,Jenin,92
Hebron,Ramla,72
Hebron,lod,59
Hebron,Salfit,64
Hebron,Rafah,160
Hebron,Khan_Yunis,150
Hebron,Gaza,125
Hebron,Tulkarm,70
Jenin,Ramallah,63
Jenin,Qalqilya,27
Jenin,Jerusalem,75
Jenin,Nablus,35
Jenin,Jericho,62
Jenin,Bethlehem,72
Jenin,Hebron,92
Jenin,Jenin,0
Jenin,Ramla,80
Jenin,lod,73
Jenin,Salfit,18
Jenin,Rafah,148
Jenin,Khan_Yunis,141
Jenin,Gaza,115
Jenin,Tulkarm,22
Ramla,Ramallah,31
Ramla,Qalqilya,31
Ramla,Jerusalem,37
Ramla,Nablus,49
Ramla,Jericho,70
Ramla,Bethlehem,67
Ramla,Hebron,72
Ramla,Jenin,80
Ramla,Ramla,0
Ramla,lod,7
Ramla,Salfit,57
Ramla,Rafah,121
Ramla,Khan_Yunis,116
Ramla,Gaza,100
Ramla,Tulkarm,42
lod,Ramallah,31
lod,Qalqilya,30
lod,Jerusalem,37
lod,Nablus,46
lod,Jericho,70
lod,Bethlehem,60
lod,Hebron,59
lod,Jenin,73
lod,Ramla,7
lod,lod,0
lod,Salfit,60
lod,Rafah,128
lod,Khan_Yunis,123
lod,Gaza,98
lod,Tulkarm,35
Salfit,Ramallah,20
Salfit,Qalqilya,70
Salfit,Jerusalem,35
Salfit,Nablus,17
Salfit,Jericho,50
Salfit,Bethlehem,40
Salfit,Hebron,64
Salfit,Jenin,18
Salfit,Ramla,57
Salfit,lod,60
Salfit,Salfit,0
Salfit,Rafah,125
Salfit,Khan_Yunis,150
Salfit,Gaza,135
Salfit,Tulkarm,27
Rafah,Ramallah,115
Rafah,Qalqilya,65
Rafah,Jerusalem,47
Rafah,Nablus,143
Rafah,Jericho,120
Rafah,Bethlehem,120
Rafah,Hebron,160
Rafah,Jenin,148
Rafah,Ramla,121
Rafah,lod,128
Rafah,Salfit,125
Rafah,Rafah,0
Rafah,Khan_Yunis,11
Rafah,Gaza,12
Rafah,Tulkarm,97
Khan_Yunis,Ramallah,105
Khan_Yunis,Qalqilya,114
Khan_Yunis,Jerusalem,98
Khan_Yunis,Nablus,133
Khan_Yunis,Jericho,110
Khan_Yunis,Bethlehem,120
Khan_Yunis,Hebron,150
Khan_Yunis,Jenin,141
Khan_Yunis,Ramla,128
Khan_Yunis,lod,123
Khan_Yunis,Salfit,150
Khan_Yunis,Rafah,11
Khan_Yunis,Khan_Yunis,0
Khan_Yunis,Gaza,10
Khan_Yunis,Tulkarm,65
Gaza,Ramallah,83
Gaza,Qalqilya,91
Gaza,Jerusalem,77
Gaza,Nablus,110
Gaza,Jericho,90
Gaza,Bethlehem,85
Gaza,Hebron,125
Gaza,Jenin,115
Gaza,Ramla,100
Gaza,lod,98
Gaza,Salfit,135
Gaza,Rafah,11
Gaza,Khan_Yunis,10
Gaza,Gaza,0
Gaza,Tulkarm,56
Tulkarm,Ramallah,49
Tulkarm,Qalqilya,14
Tulkarm,Jerusalem,64
Tulkarm,Nablus,25
Tulkarm,Jericho,80
Tulkarm,Bethlehem,70
Tulkarm,Hebron,70
Tulkarm,Jenin,22
Tulkarm,Ramla,42
Tulkarm,lod,35
Tulkarm,Salfit,27
Tulkarm,Rafah,97
Tulkarm,Khan_Yunis,65
Tulkarm,Gaza,56
Tulkarm,Tulkarm,0